"Use as-is / Make only very minor changes;Add missing references (i.e., non-structural grids)","Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)","Use as-is / Make only very minor changes;Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)",Use as-is / Make only very minor changes,"Add missing references (i.e., non-structural grids)","Simplify overly dense areas (where too many lines create functional confusion);Add missing references (i.e., non-structural grids)","Simplify overly dense areas (where too many lines create functional confusion);Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)","Use as-is / Make only very minor changes;Add missing references (i.e., non-structural grids)","Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)",Use as-is / Make only very minor changes,"Add missing references (i.e., structural grids)",Use as-is / Make only very minor changes,"Add missing references (i.e., structural grids)",Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,"Use as-is / Make only very minor changes;Remove unnecessary grid lines (that do not align with key elements);Add missing references (i.e., structural grids)"
"Use as-is / Make only very minor changes;Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Use as-is / Make only very minor changes;Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)",Use as-is / Make only very minor changes,"Add missing references (i.e., non-structural grids)","Simplify overly dense areas (where too many lines create functional confusion);Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Simplify overly dense areas (where too many lines create functional confusion);Add missing references (i.e., non-structural grids)","Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)","Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)","Use as-is / Make only very minor changes;Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)",Use as-is / Make only very minor changes,"Add missing references (i.e., non-structural grids)"
Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Use as-is / Make only very minor changes,"Use as-is / Make only very minor changes;Add missing references (i.e., structural grids)",Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,"Use as-is / Make only very minor changes;Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)","Remove unnecessary grid lines (that do not align with key elements);Add missing references (i.e., structural grids);Reassign structural and non-structural grid roles where misclassified","Use as-is / Make only very minor changes;Add missing references (i.e., non-structural grids);Reassign structural and non-structural grid roles where misclassified","Use as-is / Make only very minor changes;Add missing references (i.e., non-structural grids)","Add missing references (i.e., non-structural grids);Reassign structural and non-structural grid roles where misclassified","Add missing references (i.e., non-structural grids)",Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,"Add missing references (i.e., non-structural grids);Reassign structural and non-structural grid roles where misclassified"
Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Use as-is / Make only very minor changes;Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,Use as-is / Make only very minor changes;Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,"Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Add partial grids to support specific areas (e.g., service zones, irregular spaces);Reassign structural and non-structural grid roles where misclassified","Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Add partial grids to support specific areas (e.g., service zones, irregular spaces);Reassign structural and non-structural grid roles where misclassified","Add missing references (i.e., structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Add missing references (i.e., structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)",Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,"Add missing references (i.e., structural grids);Reassign structural and non-structural grid roles where misclassified"
Remove unnecessary grid lines (that do not align with key elements),Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements),Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,Use as-is / Make only very minor changes;Reassign structural and non-structural grid roles where misclassified
Use as-is / Make only very minor changes,"Add missing references (i.e., non-structural grids)",Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Use as-is / Make only very minor changes,"Add missing references (i.e., non-structural grids)",Remove unnecessary grid lines (that do not align with key elements),"Remove unnecessary grid lines (that do not align with key elements);Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids)","Remove unnecessary grid lines (that do not align with key elements);Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids)",Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Reassign structural and non-structural grid roles where misclassified
Use as-is / Make only very minor changes,"Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)",Use as-is / Make only very minor changes,"Add missing references (i.e., non-structural grids)",Simplify overly dense areas (where too many lines create functional confusion),Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,"Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids)","Add missing references (i.e., structural grids)",Use as-is / Make only very minor changes,"Add missing references (i.e., structural grids)",Simplify overly dense areas (where too many lines create functional confusion),"Add missing references (i.e., structural grids)"
Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified,Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,I would not use it,Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Reassign structural and non-structural grid roles where misclassified;Shorten some diagonal grids to the relevant area,"Add missing references (i.e., structural grids)","Add missing references (i.e., non-structural grids)","Add missing references (i.e., non-structural grids);Reassign structural and non-structural grid roles where misclassified","Add missing references (i.e., non-structural grids);for non-structural I usually add a group of dimentions pinned to structural grids. I rarely do non-structural grids. It complicates the drawing","Remove unnecessary grid lines (that do not align with key elements);Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Add missing references (i.e., structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)","Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion);Add partial grids to support specific areas (e.g., service zones, irregular spaces);I do not like the building structure. Some columns are located really weird, which makes placement of vertical grids challenging.","Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces);Reassign structural and non-structural grid roles where misclassified"
"Use as-is / Make only very minor changes;no need to have the blue grid, regarding the distance between the walls, the walls for the blue grid should not be strutural ","Use as-is / Make only very minor changes;i will may be just add one blue grid for the extremity wall on the left, just to make it easier for the distance ",Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,"Remove unnecessary grid lines (that do not align with key elements);(The blue line can be useful, but it's not necessary for me, if we still use grids only for structural elements) ",Use as-is / Make only very minor changes,Simplify overly dense areas (where too many lines create functional confusion),Simplify overly dense areas (where too many lines create functional confusion),"Add missing references (i.e., structural grids);Add grids for the column in the triangle ","Add missing references (i.e., structural grids)",Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,Remove unnecessary grid lines (that do not align with key elements),"Add missing references (i.e., non-structural grids);blue line for the column ",Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes;some grids are not placed on the axes of the elements such us the column 
Use as-is / Make only very minor changes;Remove unnecessary grid lines (that do not align with key elements),Remove unnecessary grid lines (that do not align with key elements),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,"Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids);Add partial grids to support specific areas (e.g., service zones, irregular spaces)",Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Use as-is / Make only very minor changes,"Add missing references (i.e., structural grids)",Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes
Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Use as-is / Make only very minor changes;Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),"Add missing references (i.e., structural grids);Add missing references (i.e., non-structural grids)",Remove unnecessary grid lines (that do not align with key elements),Use as-is / Make only very minor changes,Remove unnecessary grid lines (that do not align with key elements);Simplify overly dense areas (where too many lines create functional confusion),Use as-is / Make only very minor changes,Simplify overly dense areas (where too many lines create functional confusion),"Add missing references (i.e., structural grids)",Remove unnecessary grid lines (that do not align with key elements);Reassign structural and non-structural grid roles where misclassified,Use as-is / Make only very minor changes,Simplify overly dense areas (where too many lines create functional confusion),"Add missing references (i.e., structural grids)",Simplify overly dense areas (where too many lines create functional confusion),Remove unnecessary grid lines (that do not align with key elements);Reassign structural and non-structural grid roles where misclassified
